City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,grindavik,63.8424,-22.4338,10.97,93,75,10.29,IS,1681822243
159,formosa do rio preto,-11.0483,-45.1931,32.23,37,94,2.09,BR,1681822776
160,talnakh,69.4865,88.3972,-14.33,84,4,1.21,RU,1681822437
161,khatanga,71.9667,102.5,-16.0,98,77,3.02,RU,1681822777
162,naze,28.3667,129.4833,20.51,89,100,4.76,JP,1681822335
163,batagay,67.6333,134.6333,-11.27,99,100,0.61,RU,1681822240
164,takoradi,4.8845,-1.7554,30.26,65,99,3.85,GH,1681822778
165,thompson,55.7435,-97.8558,-12.91,78,20,3.6,CA,1681822058
166,holme,56.1138,10.1725,13.43,43,90,5.75,DK,1681822399
167,le port,-20.9373,55.2919,29.0,93,27,2.58,RE,1681822779
168,kaitong,44.8135,123.15,11.65,11,70,2.93,CN,1681822780
169,omboue,-1.5746,9.2618,29.72,74,99,2.15,GA,1681822781
170,cabo san lucas,22.8909,-109.9124,22.61,75,64,1.34,MX,1681822720
171,grand gaube,-20.0064,57.6608,28.22,77,91,3.58,MU,1681822782
172,podgorenskiy,50.405,39.6429,13.48,38,100,6.35,RU,1681822783
173,tagusao,9.1924,117.8141,27.77,75,97,1.75,PH,1681822783
174,pustoshka,56.3355,29.369,11.93,49,100,1.78,RU,1681822784
175,yerofey pavlovich,53.9667,121.9667,-5.87,84,95,1.06,RU,1681822784
176,sinnamary,5.3833,-52.95,25.37,86,100,4.69,GF,1681822785
177,mecca,21.4267,39.8261,35.23,27,0,9.34,SA,1681822772
178,ayorou,14.7308,0.9174,40.45,4,75,3.21,NE,1681822786
179,clyde river,70.4692,-68.5914,-14.87,78,0,8.23,CA,1681822274
180,tiarei,-17.5333,-149.3333,26.01,78,26,8.11,PF,1681822787
181,san cristobal,7.7669,-72.225,19.1,74,93,1.5,VE,1681822743
182,castro,-24.7911,-50.0119,18.18,97,100,2.74,BR,1681822198
183,nhulunbuy,-12.2333,136.7667,25.23,86,100,3.83,AU,1681822789
184,barrow,71.2906,-156.7887,-23.24,93,6,3.62,US,1681822790
185,khorinsk,52.1657,109.7726,1.5,59,100,2.34,RU,1681822790
186,bilma,18.6853,12.9164,40.81,6,41,5.91,NE,1681822318
187,los llanos de aridane,28.6585,-17.9182,20.07,69,20,9.77,ES,1681822409
188,shelburne,44.0787,-80.2041,0.62,93,100,7.52,CA,1681821925
189,balakhninskiy,58.0106,114.2769,-7.66,90,100,1.76,RU,1681822792
190,east london,-33.0153,27.9116,23.52,78,75,4.12,ZA,1681822793
191,mitsamiouli,-11.3847,43.2844,28.32,75,89,2.86,KM,1681822369
192,subkhankulovo,54.5574,53.8115,14.78,31,100,4.69,RU,1681822794
193,nipawin,53.3668,-104.0009,1.02,64,75,3.6,CA,1681822795
194,mundo nuevo,18.7,-95.5,23.43,83,0,2.67,MX,1681822796
195,asyut,27.181,31.1837,38.1,7,0,4.51,EG,1681822796
196,road town,18.4167,-64.6167,27.02,69,20,3.09,VG,1681822797
197,yamada,39.4667,141.95,9.02,89,100,3.36,JP,1681822797
198,praia da vitoria,38.7333,-27.0667,15.14,77,40,1.5,PT,1681822239
199,shu,43.5983,73.7614,9.71,46,45,2.49,KZ,1681822798
200,katherine,-14.4667,132.2667,18.18,82,67,2.06,AU,1681822213
201,samarai,-10.6167,150.6667,27.03,72,83,2.32,PG,1681822799
202,husavik,66.0449,-17.3389,8.46,68,100,6.18,IS,1681822800
203,hay river,60.8156,-115.7999,-0.01,80,75,5.14,CA,1681822803
204,saint-georges,12.0564,-61.7485,28.82,65,20,9.26,GD,1681822806
205,saldanha,-33.0117,17.9442,27.03,81,0,6.66,ZA,1681822810
206,norman wells,65.282,-126.8329,-10.98,79,100,7.72,CA,1681822255
207,simpang,-1.2667,104.0833,25.09,93,56,0.46,ID,1681822815
208,lodwar,3.1191,35.5973,34.35,32,100,4.85,KE,1681822816
209,rovnoye,50.7765,46.0509,12.28,40,100,2.66,RU,1681822816
210,jan kempdorp,-27.9225,24.8305,27.81,13,0,0.91,ZA,1681822817
211,ravenna,44.4167,11.9833,14.95,77,100,1.91,IT,1681822818
212,constitucion,-35.3333,-72.4167,11.29,53,12,2.7,CL,1681822572
213,byron bay,-28.65,153.6167,16.51,87,100,1.98,AU,1681822819
214,half moon bay,37.4636,-122.4286,8.92,90,100,1.54,US,1681822739
215,wenling,28.3669,121.36,19.95,99,100,1.24,CN,1681822831
216,erzin,36.9559,36.2,25.94,42,0,2.82,TR,1681822370
217,ramon,16.7842,121.535,25.8,84,71,0.97,PH,1681822832
218,saskylakh,71.9167,114.0833,-20.78,100,90,2.22,RU,1681822833
219,imeni poliny osipenko,52.4201,136.4853,1.75,82,100,2.09,RU,1681822833
220,sistranda,63.7256,8.834,15.98,67,100,3.12,NO,1681822700
221,laguna,38.421,-121.4238,8.08,86,0,1.54,US,1681822297
222,kifri,34.6959,44.9661,30.06,18,0,2.51,IQ,1681822852
223,roma,43.2128,-75.4557,5.77,80,100,2.57,US,1681822400
224,cabra,37.4725,-4.4421,25.04,22,9,2.72,ES,1681822856
225,magadan,59.5667,150.8,-7.39,83,12,3.7,RU,1681822856
226,mayo,38.8876,-76.5119,15.66,50,0,6.17,US,1681822857
227,pandan,14.0453,124.1694,28.43,80,6,6.69,PH,1681822858
228,severo-kurilsk,50.6789,156.125,0.27,99,100,9.26,RU,1681822858
229,kavieng,-2.5744,150.7967,28.56,70,17,2.46,PG,1681822859
230,kenai,60.5544,-151.2583,-2.14,82,40,0.0,US,1681822860
231,vila franca do campo,37.7167,-25.4333,17.23,55,42,1.59,PT,1681822860
232,cidreira,-30.1811,-50.2056,21.33,54,69,1.24,BR,1681822861
233,kindu,-2.95,25.95,27.08,86,100,0.47,CD,1681822863
234,sola,-13.8833,167.55,27.69,74,100,4.72,VU,1681822417
235,chernyshevskiy,63.0128,112.4714,-14.43,95,61,1.54,RU,1681822864
236,arinos,-15.9169,-46.1056,31.99,43,5,1.04,BR,1681822865
237,kununurra,-15.7667,128.7333,18.99,82,81,0.0,AU,1681822866
238,pokhara,28.2333,83.9833,27.8,19,55,1.88,NP,1681822867
239,kholmsk,47.0511,142.0569,1.04,79,1,2.03,RU,1681822869
240,novoagansk,61.9449,76.6625,-7.98,87,100,5.56,RU,1681822870
241,kishi,9.0833,3.85,40.07,25,21,1.63,NG,1681822870
242,port hardy,50.6996,-127.4199,5.0,100,100,2.57,CA,1681822394
243,luderitz,-26.6481,15.1594,25.4,43,0,3.0,NA,1681822737
244,marsa matruh,31.3525,27.2453,21.11,73,0,7.2,EG,1681822872
245,duiwelskloof,-23.6934,30.14,27.83,24,0,3.46,ZA,1681822873
246,mahina,-17.5065,-149.489,25.87,83,40,1.54,PF,1681822874
247,high level,58.5169,-117.136,4.06,100,100,5.14,CA,1681822828
248,rundu,-17.9333,19.7667,32.78,21,97,3.63,NA,1681822875
249,newport,51.5877,-2.9984,15.29,64,6,8.42,GB,1681822779
250,sura,53.8879,45.7419,14.42,31,100,2.95,RU,1681822876
251,mount isa,-20.7333,139.5,23.87,78,100,3.6,AU,1681822877
252,bacolod,10.6667,122.95,28.31,77,82,5.22,PH,1681822833
253,kahului,20.8947,-156.47,23.25,85,83,0.45,US,1681822878
254,nome,64.5011,-165.4064,-21.05,85,0,2.01,US,1681822879
255,kruisfontein,-34.0033,24.7314,22.71,47,0,4.15,ZA,1681822328
256,porto santo,33.072,-16.3415,20.21,68,40,9.77,PT,1681822881
257,iqaluit,63.7506,-68.5145,-17.95,70,20,8.23,CA,1681822882
258,doha,25.2867,51.5333,33.17,28,0,4.12,QA,1681822865
259,nekhayevskiy,50.4106,41.7561,13.29,37,100,6.0,RU,1681822883
260,vallenar,-28.5708,-70.7581,17.48,54,0,0.74,CL,1681822884
261,monterey,36.2505,-121.2516,6.76,1,99,1.77,US,1681822851
262,changping,40.2186,116.2197,18.8,25,0,3.72,CN,1681822885
263,beysehir,37.6773,31.7246,18.78,35,6,11.3,TR,1681822886
264,leningradskiy,69.3833,178.4167,-10.96,79,57,2.71,RU,1681822314
265,chapais,49.7834,-74.8492,2.88,92,100,2.96,CA,1681822887
266,presidencia roque saenz pena,-26.7852,-60.4388,20.83,59,1,1.74,AR,1681822888
267,upernavik,72.7868,-56.1549,-15.0,97,91,2.0,GL,1681822891
268,sabha,27.0377,14.4283,29.41,19,6,5.76,LY,1681822368
269,salta,-24.7859,-65.4117,17.54,83,75,1.03,AR,1681822606
270,mandalgovi,45.7625,106.2708,12.96,34,100,4.64,MN,1681822893
271,sioux lookout,50.1001,-91.917,-7.96,79,20,3.6,CA,1681822894
272,tautira,-17.7333,-149.15,27.58,78,45,7.35,PF,1681822894
273,fukuyama,34.4833,133.3667,19.08,75,97,1.45,JP,1681822895
274,bontang,0.1333,117.5,27.65,81,10,1.65,ID,1681822895
275,kuldur,49.2167,131.6333,4.47,65,100,0.49,RU,1681822896
276,sterling,39.0062,-77.4286,14.55,43,0,2.06,US,1681822841
277,traverse city,44.7631,-85.6206,0.11,92,100,7.14,US,1681822649
278,dakar,14.6937,-17.4441,29.49,73,0,9.77,SN,1681822898
279,vostok,46.4856,135.8833,3.79,73,100,1.34,RU,1681822399
280,banda aceh,5.5577,95.3222,27.82,80,82,1.62,ID,1681822900
281,farias brito,-6.9306,-39.5656,26.38,73,98,1.81,BR,1681822901
282,ginda,30.6945,78.4932,18.43,51,100,3.75,IN,1681822901
283,kirakira,-10.4544,161.9205,25.36,83,18,0.55,SB,1681822902
284,klaksvik,62.2266,-6.589,12.51,94,87,5.41,FO,1681822902
